0,1,2,3
98944.93468549926,4.015695574137069,24.893610290784206,990.2824509366052
98944.3025517358,3.803258778058174,23.612340927314882,992.3104862018779
98943.70350328564,3.6023801275191136,22.39626543493286,994.2337196920466
98943.13578517143,3.4123901919200215,21.242164650019273,996.0575385540961
98942.59773850073,3.232663314988332,20.14696544314179,997.7870567302838
98942.08779482545,3.062614173708935,19.107735850623065,999.4271283290657
98941.60447087997,2.9016946681962983,18.121680105709753,1000.9823604063932
98941.14636366614,2.749391103975484,17.1861336241086,1002.4571251736079
98940.71214585644,2.6052216329913334,16.298557988596357,1003.8555716497189
98940.3005614924,2.468733928255573,15.456535960723803,1005.1816367777931
98939.91042195627,2.3395030679710955,14.657766546338179,1006.4390560248269
98939.54060219236,2.217129602624759,13.900060147399701,1007.6313734823752
